Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Aubergine;gedämpft (ohne Zugabe von Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;98;23;0.2;0;0;0.1;0;3.2;2.9;0.3;2.4;1;0;0;93.2;8;4;0;48;48;0.03;0.03;0.07;0;0.52;12.3;0.23;1.5;0;0.03;240;2.7;56;10;13;21;0.2;0.2;0.1;k.A.;ja;ja;ja;ja
Aubergine;gedünstet (ohne Zugabe von Fett und Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;112;27;0.2;0;0;0.1;0;3.6;3.3;0.3;2.8;1.2;0;0;92.2;9;5;0;56;56;0.03;0.03;0.08;0;0.6;14.3;0.26;1.7;0;0.04;260;3.3;65;12;13;25;0.3;0.2;0.2;k.A.;ja;ja;ja;ja
Aubergine;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;96;23;0.2;0;0;0.1;0;3.1;2.8;0.3;2.4;1;0;0;92.7;8;4;0;50;50;0.04;0.03;0.08;0;0.6;19;0.25;1.9;0;0.03;260;3;55;10;13;21;0.3;0.2;0.1;k.A.;ja;ja;ja;ja
Auberginen-Piccata;zubereitet ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;584;140;8.4;2.3;4.2;1;67;9.5;2.6;6.8;2.4;5.5;0.2;0;74.3;49;45;41;47;47;0.05;0.09;0.08;0.32;0.47;16.6;0.57;1.1;0.5;0.54;250;96;190;71;16;93;0.6;9.1;0.6;k.A.;ja;nein;nein;nein
Auberginenscheiben;paniert, zubereitet ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;577;138;5.8;0.7;3.6;0.9;47;15.2;3.1;12.1;2.9;4.6;0.2;0;71.6;21;18;14;40;40;0.06;0.06;0.08;0.17;0.54;17.1;0.51;1.1;0.4;0.5;250;62;150;21;16;60;0.6;5.7;0.4;k.A.;ja;nein;nein;nein
Aufschnitt (Durchschnitt) ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;1140;276;24.2;9.1;11.3;2.3;59;0.7;0.7;0;0;13.9;2;0;61.2;3;3;3;2;2;0.29;0.13;0.15;0.91;2.96;1.8;0.42;26.8;0.5;0.21;120;790;1110;8.1;12;160;0.8;0.9;1.5;k.A.;nein;nein;ja;ja
Avocado;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;594;144;14.2;2.9;8.9;1.8;0;0.8;0.8;Sp.;3;1.8;0;0;76.4;17;9;0;102;78;0.06;0.16;0.19;0;2;29;0.86;6.7;0;1.85;520;7;6;16;33;44;1;1;0.6;k.A.;ja;ja;ja;ja
Bäckerhefe;gepresst ;Hefe;Verschiedenes;pro 100g essbarer Anteil;402;96;1.2;0.2;0.4;0.6;0;1.1;0;1;6.9;16.7;0.1;0;72;0;0;0;0;0;0.83;1.39;0.63;0;9.75;642;2.29;0;0;0.1;570;22;100;16;41;370;2.9;0.6;2.4;1;ja;ja;ja;ja
Balsamicoessig Essig;;-;Kräuter, Gewürze und Würzmittel ;pro 100g essbarer Anteil;544;128;<0.6;0;0;0;0;25.8;19.1;0;0.5;0.7;0.1;0;70.3;1;0;0;5;<5;<0.02;<0.01;1.71;0;<0.1;5.5;0.07;<0.5;<0.3;0;160;27;<20;18;12;24;1;<20;0.1;<20;ja;ja;ja;ja
Bami Goreng;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;548;130;2.4;0.3;1.3;0.5;44;13.2;1.4;11.3;0.9;13.5;1;0;70.1;44;27;11;196;196;0.12;0.08;0.14;0.05;3.6;4.3;0.32;11.6;0.3;0.33;190;400;620;9.5;18;120;0.7;1.6;0.7;k.A.;ja/nein;nein;ja/nein;nein
Banane;gedörrt Bananenchips ;Früchte gedörrt ;Früchte;pro 100g essbarer Anteil;1570;370;1.8;0.7;0.2;0.3;0;80.7;65.3;15.4;7.6;3.9;0;0;3;60;30;0;363;350;0.18;0.24;Sp.;0;2.8;Sp.;Sp.;7;0;Sp.;1490;3;Sp.;22;110;74;1.2;Sp.;Sp.;k.A.;ja;ja;ja;ja
Banane;getrocknet ;Früchte getrocknet ;Früchte;pro 100g essbarer Anteil;1160;273;1;0.4;0.1;0.2;0;60.2;43.7;16.5;5.5;3;0;0;28;17;8;0;100;100;0.1;0.18;0.81;0;2;33.3;0.54;4;0;0.6;1150;8;300;20;90;75;1.3;8.1;0.6;k.A.;ja;ja;ja;ja
Banane;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;378;89;0.1;Sp.;Sp.;Sp.;0;19.7;15.6;3.8;2.7;1.1;0;0;75.8;14;7;0;84;54;0.05;0.03;0.25;0;0.6;25.6;0.23;11.9;0;Sp.;320;Sp.;80;5.1;28;29;0.2;3;0.1;<0.5;ja;ja;ja;ja
Basilikum;roh ;-;Kräuter, Gewürze und Würzmittel ;pro 100g essbarer Anteil;194;46;0.8;0.1;0;0.4;0;5.1;5;0.1;3.1;3.1;0;0;86.4;811;405;0;4865;4820;0.08;0.31;0.18;0;1.1;50;0.2;26;0;1;300;9;35;250;11;37;5.5;0.9;0.7;k.A.;ja;ja;ja;ja
Basler Leckerli ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1740;412;7.9;0.7;4.5;1.8;0;75;52;22.6;2.8;7.5;0;0.8;7;2;1;0;13;13;0.06;0.15;0.11;0;0.44;11.4;0.18;1.1;0;3.94;180;2.7;28;51;40;98;1;0.4;0.7;1.1;ja;nein;ja;nein
Basler Leckerli ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1740;412;7.9;0.7;4.5;1.8;0;75;52;22.6;2.8;7.5;0;0.8;7;2;1;0;13;13;0.06;0.15;0.11;0;0.44;11.4;0.18;1.1;0;3.94;180;2.7;28;51;40;98;1;0.4;0.7;1.1;ja;nein;ja;nein
Bauernbrot ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1020;241;2;0.7;0.4;0.6;4;44.3;2.4;41.7;4.4;9.2;1.8;0;40.8;11;10;10;5;5;0.2;0.13;0.11;0.03;1.09;25;0.4;0.2;0;0.33;200;710;1090;46;38;170;1.5;1.3;1.4;3.4;ja;ja;ja;nein
Bauernschüblig ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;2170;524;48.5;18.8;23;4.4;86;0.3;0.3;0;0;21.3;4;0.1;29.7;8;8;7;6;6;0.53;0.24;0.33;3.29;5.96;2.6;0.56;71;0;0.69;350;1590;2350;4.8;23;270;1.5;1.1;2.9;k.A.;nein;nein;ja;ja
Baumnuss Walnuss;;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;2930;709;67.3;6.5;14.1;43.6;0;6.9;3;Sp.;6.7;15.7;0;0;4;3;2;0;21;21;0.42;0.05;0.19;0;0.4;112.1;1.39;0.8;0;3.72;420;0.2;23;78;140;360;2.6;<5;2.7;1.2;ja;ja;ja;ja
Baumnussbrot ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1390;332;17.9;3.9;3.8;8.9;23;30.8;2;27.9;5.8;9.2;1.2;0;37.2;41;39;37;21;21;0.23;0.1;0.18;0.05;0.75;43.4;0.67;0.1;0.2;1.24;240;490;750;31;67;210;2.1;3.7;1.9;3;ja;ja;ja;nein
Baumnussöl ;;-;Fette und Öle ;pro 100 ml;3330;810;90;9;15.1;62.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.99;0;0;0;0;0;0;0;0;0;0;ja;ja;ja;ja
Béchamelsauce;hausgemacht ;Saucen;Verschiedenes;pro 100g essbarer Anteil;612;147;9.9;6;2.3;0.5;31;10.1;4.8;5.3;0.2;4.2;0.7;0;75.5;98;95;91;41;41;0.03;0.22;0.03;0.15;0.13;2.7;0.33;0.7;0.2;0.24;170;300;490;120;12;99;0.1;9.9;0.4;1.3;ja;nein;nein;nein
Beeren (Durchschnitt);gekocht (ohne Zugabe von Zucker) ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;149;36;0.6;0;0;0.1;0;5.3;5;0;3.2;0.7;0;0;90.2;1;0;0;5;5;0.01;0.02;0.03;0;0.31;19.1;0.13;20.8;0;0.45;90;0.7;58;18;11;20;0.2;1.3;0.1;0.5;ja;ja;ja;ja
Beeren (Durchschnitt);roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;169;40;0.5;0;0;0.1;0;6.3;5.9;0;3.7;0.7;0;0;88.7;1;1;0;6;6;0.02;0.03;0.04;0;0.37;36.3;0.15;49.4;0;0.42;140;1.1;55;18;12;24;0.2;1.2;0.1;0.5;ja;ja;ja;ja
Berliner ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1410;336;12.8;6.8;4;0.9;104;45.8;17.1;28.5;2.2;8.4;0.6;0;32.2;130;126;122;50;50;0.05;0.1;0.1;Sp.;0.48;14;0.38;0.2;1;0.78;110;250;400;38;16;100;1.3;4.1;0.9;k.A.;ja;nein;nein;nein
Berliner ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1410;336;12.8;6.8;4;0.9;104;45.8;17.1;28.5;2.2;8.4;0.6;0;32.2;130;126;122;50;50;0.05;0.1;0.1;Sp.;0.48;14;0.38;0.2;1;0.78;110;250;400;38;16;100;1.3;4.1;0.9;k.A.;ja;nein;nein;nein
Berner Alpkäse ;;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;1880;453;38.3;k.A.;k.A.;k.A.;k.A.;0;k.A.;0;0;27.1;1.6;0;26.2;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;660;k.A.;920;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;ja;nein;nein;ja
Berner Hobelkäse ;;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;2030;491;41.2;k.A.;k.A.;k.A.;k.A.;0;k.A.;0;0;30;1.7;0;21.9;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;0.56;k.A.;0.83;k.A.;k.A.;0.43;k.A.;0.8;k.A.;k.A.;690;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;k.A.;ja;nein;nein;ja
Berner Zungenwurst ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;1380;333;29.4;10.8;13.7;3;63;0;0;0;0;17.3;1.5;0;53.3;7;7;6;3;3;0.53;0.2;0.31;2.61;4.95;2.3;0.54;0;0;0.52;220;610;880;3.4;20;100;1.3;0.7;2.4;k.A.;nein;nein;ja;ja
Biber ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1500;355;5.6;0.7;3;1.3;22;65.6;36.9;28.4;3;7.8;0;0.7;18.1;8;8;7;2;2;0.08;0.12;0.11;0.06;0.35;9.8;0.24;0.5;0.1;2.47;140;6;37;52;30;97;1.3;2.7;0.8;2;ja;nein;ja;nein
Biber ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1500;355;5.6;0.7;3;1.3;22;65.6;36.9;28.4;3;7.8;0;0.7;18.1;8;8;7;2;2;0.08;0.12;0.11;0.06;0.35;9.8;0.24;0.5;0.1;2.47;140;6;37;52;30;97;1.3;2.7;0.8;2;ja;nein;ja;nein
Bierhefe;getrocknet ;Hefe;Verschiedenes;pro 100g essbarer Anteil;1500;354;4.2;0.6;1.3;2.1;0;26.5;3.2;23.3;9.5;47.9;0.2;0;6;0;0;0;0;0;12;3.8;4.4;k.A.;45;3200;7.2;0;0;0.1;1410;77;400;50;230;1900;18;4;8;k.A.;ja;ja;ja;nein
Bierwurst ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;1210;291;25.4;9.4;11.8;2.6;63;0;0;0;0;15.6;1.4;0.1;59;5;5;5;2;2;0.23;0.16;0.13;1.52;2.65;1.6;0.29;0;0;0.43;120;570;870;2.9;13;79;1.2;0.7;2.1;k.A.;nein;nein;ja;ja
Birchermüesli;zubereitet (ungezuckert) ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;361;86;3.1;1.1;1;0.7;5;11.1;8.2;2.8;1.5;2.6;0;0;81.7;18;16;15;20;20;0.05;0.09;0.05;0.09;0.19;9.4;0.23;4.7;0;0.33;160;19;79;59;19;78;0.3;5.8;0.4;k.A.;ja;nein;nein;ja
Birne;gedünstet, abgetropft (ohne Zugabe von Zucker) ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;240;57;0.4;0.1;0.1;0.2;0;11.3;9.4;0;3;0.6;0;0;84.7;2;1;0;14;14;0.01;0.01;0.02;0;0.2;7.5;0.1;2.3;0;0.16;100;1.4;79;8;8.6;16;0.1;0.5;0.1;0.6;ja;ja;ja;ja
Birne;getrocknet ;Früchte getrocknet ;Früchte;pro 100g essbarer Anteil;1220;288;1.4;0.2;0.3;0.6;0;59.7;49.6;0;13.5;2.3;0;0;20;0;0;0;1;1;0.06;0.08;0.03;0;0.65;39;0.16;2.1;0;1.45;390;10;10;48;34;53;0.8;4;0.5;2;ja;ja;ja;ja
Birne;in Sirup, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;298;71;0.4;0.1;0.1;0.2;0;15.2;14.4;0;2.6;0.4;0;0;81.3;k.A.;k.A.;0;0;Sp.;Sp.;Sp.;0.01;0;Sp.;Sp.;0.04;0.9;0;0.12;69;Sp.;6;8.8;4;7.9;Sp.;0.5;0.1;0.1;ja;ja;ja;ja
Birne;mit Süssungsmittel, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;210;50;0.3;0.1;0.1;0.1;0;9.9;8.2;0;2.6;0.5;0;0;86.6;3;1;0;16;12;0.01;0.01;0.02;0;0.17;6.5;0.08;2;0;0.14;90;1.2;69;7;7.5;14;0.1;0.5;0.1;0.6;ja;ja;ja;ja
Birne;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;227;54;0.3;0.1;0.1;0.1;0;10.9;9;0;2.9;0.5;0;0;83.5;2;1;0;14;14;0.01;0.01;0.03;0;0.19;11.5;0.09;4.5;0;0.12;130;1.8;61;6.5;8.2;15;0.1;0.4;0.1;<0.5;ja;ja;ja;ja
Birnenkuchen;hausgemacht, gebacken (mit Blätterteig) Birnenwähe ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;607;145;6.8;2.8;2.7;0.8;18;17.4;7.8;8.3;2.3;2.6;0.3;0;71.1;10;9;8;10;10;0.03;0.04;0.03;0.08;0.16;7.6;0.21;2.4;0.1;0.82;120;110;210;18;8.7;35;0.2;3.1;0.2;1.8;ja;nein;nein;nein
Birnenkuchen;hausgemacht, gebacken (mit Blätterteig) Birnenwähe ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;607;145;6.8;2.8;2.7;0.8;18;17.4;7.8;8.3;2.3;2.6;0.3;0;71.1;10;9;8;10;10;0.03;0.04;0.03;0.08;0.16;7.6;0.21;2.4;0.1;0.82;120;110;210;18;8.7;35;0.2;3.1;0.2;1.8;ja;nein;nein;nein
Birnenkuchen;hausgemacht, gebacken (mit Blätterteig) Birnenwähe ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;607;145;6.8;2.8;2.7;0.8;18;17.4;7.8;8.3;2.3;2.6;0.3;0;71.1;10;9;8;10;10;0.03;0.04;0.03;0.08;0.16;7.6;0.21;2.4;0.1;0.82;120;110;210;18;8.7;35;0.2;3.1;0.2;1.8;ja;nein;nein;nein
Birnenkuchen;hausgemacht, gebacken (mit Kuchenteig) Birnenwähe ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;617;147;6.6;2.8;2.6;0.8;18;18.1;7.8;9;2.3;2.8;0.2;0;70.4;10;9;8;10;10;0.03;0.04;0.04;0.08;0.17;7.5;0.22;2.4;0.1;0.78;120;89;180;19;11;44;0.3;3.2;0.3;1.8;ja;nein;nein;nein
Birnenkuchen;hausgemacht, gebacken (mit Kuchenteig) Birnenwähe ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;617;147;6.6;2.8;2.6;0.8;18;18.1;7.8;9;2.3;2.8;0.2;0;70.4;10;9;8;10;10;0.03;0.04;0.04;0.08;0.17;7.5;0.22;2.4;0.1;0.78;120;89;180;19;11;44;0.3;3.2;0.3;1.8;ja;nein;nein;nein
Birnenkuchen;hausgemacht, gebacken (mit Kuchenteig) Birnenwähe ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;617;147;6.6;2.8;2.6;0.8;18;18.1;7.8;9;2.3;2.8;0.2;0;70.4;10;9;8;10;10;0.03;0.04;0.04;0.08;0.17;7.5;0.22;2.4;0.1;0.78;120;89;180;19;11;44;0.3;3.2;0.3;1.8;ja;nein;nein;nein
Birnensaft ;;Fruchtsaft ;Früchte;pro 100 ml;222;52;0.3;0;0.1;0.1;0;12.1;10;0;0;0.5;0;0;90.5;3;1;0;17;17;0.03;0.03;0.01;0;0.19;9;0.05;3;0;0.47;110;2;2;10;7;11;0.2;0.8;0.1;k.A.;ja;ja;ja;ja
Birnensaft ;;Fruchtsaft ;Getränke;pro 100 ml;222;52;0.3;0;0.1;0.1;0;12.1;10;0;0;0.5;0;0;90.5;3;1;0;17;17;0.03;0.03;0.01;0;0.19;9;0.05;3;0;0.47;110;2;2;10;7;11;0.2;0.8;0.1;k.A.;ja;ja;ja;ja
Birnenweggen ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1520;363;10.4;5.8;2.4;0.9;25;57.2;33.5;19.5;6.9;4.9;0.8;1;20;84;80;76;44;44;0.08;0.06;0.09;0;0.5;15.4;0.24;0.7;0.2;0.81;320;300;450;64;32;75;1.6;2.2;0.6;k.A.;ja;nein;nein;nein
Birnenweggen ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1520;363;10.4;5.8;2.4;0.9;25;57.2;33.5;19.5;6.9;4.9;0.8;1;20;84;80;76;44;44;0.08;0.06;0.09;0;0.5;15.4;0.24;0.7;0.2;0.81;320;300;450;64;32;75;1.6;2.2;0.6;k.A.;ja;nein;nein;nein
Blanc battu mit Früchten;mit Süsstoffen ;Frischkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;285;67;0.2;0.1;0;0;0;8.3;5.2;2.6;0.3;8;0.1;0;83.1;4;3;2;13;13;0.03;0.34;0.04;0.39;0.28;15.1;0.37;1.5;0;0.08;180;48;110;130;13;140;0.1;19;0.5;k.A.;ja;nein;nein;ja
Blanc battu;nature, mager ;Frischkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;200;47;0;0;0;0;1;3.9;3.9;0;Sp.;7.8;0.1;0;86.5;5;4;4;3;3;0.04;0.32;0.06;0.36;0.2;24;0.35;0;0.1;Sp.;140;44;89;130;12;120;0.2;10;0.5;k.A.;ja;nein;nein;ja
Blätterteig (mit pflanzichem Fett);ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1600;383;24;10.3;10;2.7;0;35.1;0.1;34.7;1.6;5.7;1;0;32.2;0;0;0;0;0;0.08;0.01;0.02;0;0.16;5;0.16;0;0;2.78;83;400;620;4.6;7.4;31;0.3;0.5;0.3;1.1;ja;ja;ja;nein
Blätterteig;hausgemacht (Butter), ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1510;364;24.7;14.6;5.8;1.4;65;29.4;0.3;28.8;1.3;5.2;0.8;0;39.8;252;243;234;109;109;0.09;0.02;0.07;0;0.13;6.7;0.2;0;0.4;0.64;82;340;530;11;15;57;0.6;0.7;0.5;1.1;ja;nein;nein;nein
Blätterteig;hausgemacht (mit pflanzlichem Fett), ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1490;358;24.1;6.7;11.1;4.4;0;29.4;0.1;28.9;1.3;5.2;0.9;0;40.5;92;87;81;65;65;0.09;0.02;0.07;0.01;0.2;7.3;0.23;0;1.1;6;88;360;550;9.6;15;58;0.7;1.1;0.5;1;ja;ja;ja;nein
Blätterteigstängel Flûtes;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;2060;496;33.5;14.7;11.6;4;45;40.4;0.3;39.7;1.8;7.1;2.6;0;17.7;213;204;195;108;108;0.09;0.03;0.09;0.01;0.22;4.8;0.22;0;1;4.56;120;1030;1570;14;21;79;0.9;1.5;0.7;1.4;ja;ja/nein;nein;nein
Blattgemüse (Durchschnitt exkl. Salate);gedämpft (ohne Zugabe von Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;91;22;0.3;0;0;0.1;0;2.2;2.1;0.2;2.3;1.5;0;0;93.7;53;27;0;320;320;0.05;0.06;0.11;0;0.3;28;0.19;20.3;0;1.02;210;18;38;48;16;34;0.5;2.4;0.2;k.A.;ja;ja;ja;ja
Blattgemüse (Durchschnitt exkl. Salate);gedünstet (ohne Zugabe von Salz und Fett) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;94;23;0.3;0;0;0.1;0;2.3;2.1;0.2;2.4;1.6;0;0;93.5;56;28;0;337;337;0.05;0.06;0.11;0;0.32;29.5;0.19;20.2;0;1.08;200;19;40;51;16;36;0.6;2.6;0.2;k.A.;ja;ja;ja;ja
Blattgemüse (Durchschnitt exkl. Salate);gekocht (ohne Zugabe von Salz und Fett) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;88;21;0.2;0;0;0.1;0;2.1;2;0.2;2.3;1.4;0;0;93.9;54;27;0;323;323;0.04;0.04;0.09;0;0.25;23.6;0.16;14.9;0;1.03;130;16;36;48;11;33;0.5;2.3;0.2;k.A.;ja;ja;ja;ja
Blattsalat (Durchschnitt);roh  Salat;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;76;18;0.3;0.1;0;0.1;0;1.4;1.4;0;1.9;1.6;0;0;94.9;175;87;0;1049;1049;0.06;0.08;0.09;0;0.37;59;0.2;18.8;0;0.6;270;18;36;53;13;35;1;5.7;0.3;k.A.;ja;ja;ja;ja
Blauschimmelkäse (Durchschnitt) ;;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;1490;360;31.5;18.9;7.4;1.5;95;0.2;0.1;0;0;19.1;3.8;0;48.9;221;218;214;44;44;0.03;0.58;0.1;0.72;0.51;46;0.99;0;0.5;0.67;130;1530;2100;610;24;390;0.4;40;2.5;k.A.;ja;nein;nein;ja
Blumenkohl;gedämpft (ohne Zugabe von Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;110;26;0.3;0.1;0;0.2;0;2.3;2;0.3;2.4;2.4;0;0;92.6;0;0;0;2;2;0.05;0.08;0.13;0;0.51;52.4;0.67;47.3;0;0.21;290;13;19;20;14;48;0.4;0.6;0.3;k.A.;ja;ja;ja;ja
Blumenkohl;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;110;26;0.3;0.1;0;0.2;0;2.3;2;0.3;2.4;2.4;0;0;91.9;0;0;0;2;2;0.06;0.08;0.15;0;0.6;83;0.74;59.9;0;0.2;320;14;19;20;15;48;0.5;0.6;0.3;k.A.;ja;ja;ja;ja
Blutwurst ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;619;149;10.8;4.5;4.6;1;32;2.6;2.5;0;0.1;10.2;2;0;76.2;35;34;33;9;9;0.05;0.12;0.19;1.09;0.39;4.4;0.39;0.6;0;0.13;140;790;1230;61;13;64;30;6.9;1.6;k.A.;nein;nein;ja;ja
Bohne (alle Arten);gekocht (ohne Zugabe von Fett und Salz) ;Hülsenfrüchte zubereitet ;Hülsenfrüchte;pro 100g essbarer Anteil;465;111;0.6;0.1;0;0.3;0;14.5;0.4;12.7;8.5;7.7;0;0;68.8;0;0;0;1;1;0.08;0.02;0.07;0;0.83;76.8;0.08;0.6;0;0.05;420;1;18;45;51;150;2;0.4;1.1;k.A.;ja;ja;ja;ja
Bohne (alle Arten);getrocknet ;Hülsenfrüchte getrocknet ;Hülsenfrüchte;pro 100g essbarer Anteil;1280;305;1.5;0.3;0.1;0.7;0;40.7;1.2;35.6;22.6;20.9;0;0;10.4;0;0;0;2;2;0.34;0.08;0.25;0;3.4;410;0.39;2.7;0;0.15;1510;1.3;47;130;160;440;6.3;1.1;3.2;k.A.;ja;ja;ja;ja
Bohne;grün, gedämpft (ohne Zugabe von Salz) ;Hülsenfrüchte zubereitet ;Hülsenfrüchte;pro 100g essbarer Anteil;136;32;0.2;0.1;0;0.1;0;3.8;2.3;1.5;3.3;2.2;0;0;90.5;52;26;0;313;313;0.07;0.1;0.13;0;0.62;46.2;0.84;12.5;0;0.26;230;3.7;14;58;27;40;0.9;3.1;0.3;k.A.;ja;ja;ja;ja
Bohne;grün, getrocknet Dörrbohnen ;Hülsenfrüchte getrocknet ;Hülsenfrüchte;pro 100g essbarer Anteil;1060;252;2;0.4;0.1;1.1;0;25.7;9.5;10.3;25.3;20.2;0.1;0;6;229;114;0;1371;1371;0.45;0.71;1.33;0;4.1;186;2.19;67.6;0;1;2510;21;140;540;230;400;7.2;25;2.5;k.A.;ja;ja;ja;ja
Bohne;grün, roh ;Hülsenfrüchte frisch ;Hülsenfrüchte;pro 100g essbarer Anteil;129;31;0.2;0.1;0;0.1;0;3.6;2.2;1.4;3.1;2.1;0;0;90.3;51;26;0;306;306;0.08;0.1;0.14;0;0.7;70;0.9;16;0;0.24;240;4;13;56;28;38;1;3;0.3;k.A.;ja;ja;ja;ja
